INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                                                                  ACTION
('+', '+')                       [51, 'IDENTIFIER', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                        REDUCE 45
('+', '+')                       [40, 'varName', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                           REDUCE 47
('+', '+')                       [37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                              SHIFT 77
('IDENTIFIER', 'LITERAL_INT')    [77, '+', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                     REDUCE 5
('IDENTIFIER', 'LITERAL_INT')    [69, 'arithmeticOperator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                    REDUCE 18
('IDENTIFIER', 'LITERAL_INT')    [67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                              SHIFT 51
('/', '/')                       [51, 'IDENTIFIER', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                            REDUCE 45
('/', '/')                       [40, 'varName', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                               REDUCE 47
('/', '/')                       [37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                  SHIFT 80
('IDENTIFIER', 'IDENTIFIER')     [80, '/', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                         REDUCE 8
('IDENTIFIER', 'IDENTIFIER')     [69, 'arithmeticOperator', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                        REDUCE 18
('IDENTIFIER', 'IDENTIFIER')     [67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                  SHIFT 51
(',', ',')                       [51, 'IDENTIFIER', 67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                REDUCE 45
(',', ',')                       [40, 'varName', 67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                   REDUCE 47
(',', ',')                       [37, 'term', 67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                      REDUCE 80
(',', ',')                       [104, 'expression', 67, 'operator', 37, 'term', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                               REDUCE 78
(',', ',')                       [104, 'expression', 67, 'operator', 37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                           REDUCE 78
(',', ',')                       [125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                       SHIFT 108
('IDENTIFIER', 'IDENTIFIER')     [108, ',', 125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                             SHIFT 51
(']', ']')                       [51, 'IDENTIFIER', 108, ',', 125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                           REDUCE 45
(']', ']')                       [40, 'varName', 108, ',', 125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                              REDUCE 47
(']', ']')                       [37, 'term', 108, ',', 125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                 REDUCE 80
(']', ']')                       [125, 'expression', 108, ',', 125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                          REDUCE 84
(']', ']')                       [140, 'commaExpr', 125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                     REDUCE 83
(']', ']')                       [140, 'commaExpr', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                  REDUCE 83
(']', ']')                       [107, 'commaExpr', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                               SHIFT 124
(';', ';')                       [124, ']', 107, 'commaExpr', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                     REDUCE 82
(';', ';')                       [99, 'arrayExpression', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                     SHIFT 118
('intijur', 'intijur')           [118, ';', 99, 'arrayExpression', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                           REDUCE 66
('intijur', 'intijur')           [6, 'letStatement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                            REDUCE 54
('intijur', 'intijur')           [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                               SHIFT 11
('funkshun', 'funkshun')         [11, 'intijur', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                REDUCE 34
('funkshun', 'funkshun')         [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                SHIFT 25
('IDENTIFIER', 'IDENTIFIER')     [25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                SHIFT 34
('(', '(')                       [34, 'IDENTIFIER', 25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                              REDUCE 19
('(', '(')                       [55, 'functionName', 25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                            SHIFT 94
('char', 'char')                 [94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                   SHIFT 15
('IDENTIFIER', 'IDENTIFIER')     [15, 'char', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                       REDUCE 38
('IDENTIFIER', 'IDENTIFIER')     [114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                  SHIFT 129
(',', ',')                       [129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                               SHIFT 145
